パガン朝,1044,1299,1044年@1299年
大越国,1009,1225,1009年@1225年
ダイベト国,1009,1225,1009年@1225年
チャンパー,170,1700,2世紀末@17世紀
真臘,1206,1500,6年@15世紀
アンコール朝,802,1432,802年頃@1432年
シュリーヴィジャヤ,1301,1407,7年@14世紀
クディリ朝,928,1222,928年@1222年
殷,-1600,-1001,前16世紀頃@前11世紀
周,-1100,-256,前11世紀@前256年
西周,-1100,-770,前11世紀@前770年
武王,-1100,-1001,前11世紀
春秋・戦国時代,-770,-221,前770年@前221年
東周,-770,-249,前770年@前256年@前249年
春秋時代,-770,-403,前770年@前403年
戦国時代,-403,-221,前403年@前221年
斉,-386,-221,前386年@前221年
楚,-223,-223,前223年
燕,-222,-222,前222年
韓,-403,-230,前403年@前230年
魏,-403,-225,前403年@前225年
趙,-403,-222,前403年@前222年
秦,-800,-206,前8世紀@前206年
孔子,-551,-479,前551年頃@前479年
孟子,-372,-289,前372年頃@前289年頃
荀子,-298,-235,前298年頃@前235年頃
墨子,-480,-390,前480年頃@前390年頃
荘子,-400,-301,前4世紀頃
商鞅,-338,-338,前338年
韓非,-233,-233,前233年
李斯,-208,-208,前208年
鄒衍,-305,-240,前305年@前240年
呉子,-440,-381,前440年頃@前381年頃
呉起,-440,-381,前440年頃@前381年頃
公孫竜,-400,-201,前4世紀@前3世紀頃
蘇秦,-317,-317,前317年
張儀,-310,-310,前310年
屈原,-340,-278,前340年@前278年
秦,-800,-206,前8世紀@前206年
始皇帝,-259,-210,前259年@前210年
秦王政,-259,-210,前259年@前210年
李斯,-208,-208,前208年
陳勝・呉広の乱,-209,-208,前209年@前208年
項羽,-232,-202,前232年@前202年
劉邦,-247,-195,前247年@前195年
漢,-202,220,前202年@220年
前漢,-202,208,前202年@8年
吳楚七国の乱,-154,-154,前154年
武帝,-159,-87,前159年@前87年
衛青,-106,-106,前106年
霍去病,-140,-117,前140年頃@前117年
張騫,-114,-114,前114年
李広利,-90,-90,前90年
南越,-203,-111,前203年@前111年
衛氏朝鮮,-190,-108,前190年頃@前108年
楽浪郡,-108,313,前108年@313年
真番郡,-108,-82,前108年@前82年
臨屯郡,-108,-82,前108年@前82年
玄菟郡,-108,400,前108年@4世紀
王莽,-45,323,前45年@23年
新,308,323,8年@23年
赤眉の乱,318,327,18年@27年
後漢,220,325,25年@220年
劉秀,-6,257,前6年@57年
光武帝,-6,257,前6年@57年
徴姉妹の反乱,240,243,40年@43年
明帝,228,275,28年@75年
班超,102,232,32年@102年
党錮の禁,166,169,166年@169年
黄巾の乱,184,184,184年
張角,184,184,184年
董仲舒,-176,-104,前176年頃@前104年頃
劉向,-77,-6,前77年@前6年
鄭玄,127,200,127年@200年
司馬遷,-145,-86,前145年頃@前86年頃
班固,232,292,32年@92年
張衡,139,278,78年@139年
蔡倫,121,121,121年頃
テオティワカン文明,-2,600,前2年@6世紀
トルテカ文明,106,1000,6年@10世紀
ナスカ文明,101,800,1年@8世紀
ティアワナコ文明,101,1200,1年@12世紀
チムー帝国,112,1500,12年@15世紀
インカ帝国,1200,1533,1200年頃@1533年
インカ文明,1200,1533,1200年頃@1533年
魏晋南北朝,220,589,220年@589年
三国時代,220,280,220年@280年
曹操,155,220,155年@220年
赤壁の戦い,208,208,208年
曹丕,187,226,187年@226年
文帝,187,226,187年@226年
魏,220,265,220年@265年
劉備,161,223,161年@223年
蜀,221,263,221年@263年
諸葛亮,181,234,181年@234年
孔明,181,234,181年@234年
孫権,182,252,182年@252年
吳,222,280,222年@280年
司馬炎,236,290,236年@290年
武帝,236,290,236年@290年
晋,265,316,265年@316年
西晋,265,316,265年@316年
