class,instance,starting_time,ending_time,alias,land_of_origin,inventor,institutor
道具@石器,打製石器,,,,,,,
道具@石器,石核石器,,,,,,,
道具@石器,礫石器,,,,,,,
道具@石器,握斧,,,ハンドアックス,,,,
道具@石器,磨製石器,,,,,,,
道具@石器,剝片石器,,,,,,,
道具@石器,石刃,,,,,,,
道具@石器,細石器,,,,,,,
道具@土器,彩文土器,,,,,,,
食料獲得@食料取得,狩猟,旧石器時代,,,,,,
食料獲得@食料取得,漁労,旧石器時代,,,,,,
食料獲得@食料取得,採集,旧石器時代,,,,,,
食料獲得@食料取得,農耕,,,,,,,
食料獲得@食料取得,牧畜,,,,,,,
暦,太隆暦,,,,,,,
宝物@美術品@製品,漆胡瓶,,,,,,,
技術@発明,測地術,,,,,,,
軍船@船,三段櫂船,,,,,,,
製品,織物,,,,,,,
製品@布,獅子狩文錦,,,,,,,
土器,彩文土器,,,彩陶,仰韶文化,中国,,,
土器,黒陶,,,,竜山文化,中国,,,
土器,灰陶,,,,黄土,,,,
土器,三足土器,,,,中国,,,,
土器,鬲,,,,竜山文化,,,,
土器,鼎,,,,仰韶文化,,,,
文字,モン文字,,,,,,,,
道具,十字架,,,,,,,,
道具,銅鼓,,,,ドンソン文化,青銅,,,
道具@農具,鉄製農具,春秋時代,,,,,,,
技術@発明,製紙技術,,,,蔡倫,,,
技術@発明,ニ十進法,4世紀,,,マヤ文明,,,
作物,トウモロコシ,前2000,,,アメリカ大陸,,,
作物,ジャガイモ,前2000,,,アメリカ大陸,,,
作物,甘藷,前2000,,,アメリカ大陸,,,
作物,タバコ,前2000,,,アメリカ大陸,,,
作物,トマト,前2000,,,アメリカ大陸,,,
作物,占城稲,,,,北宋,,,
作物,茶,,,,,,,
磁器,宋磁,,,,宋,,,
磁器,青磁,,,,宋,,,
磁器,白磁,,,,宋,,,
書体@文字,篆書,,,,漢字,,,
書体@文字,隸書,,,,漢字,漢,,
書体@文字,草書,,,,漢字,漢@後漢,,
書体@文字,楷書,,,正書@真書,漢字,後漢,,
書体@文字,行書,,,,漢字,後漢,,
陶器,唐三彩,,,,唐,,,
道具,木簡,,,,漢,,,
道具,竹簡,戦国時代,,,,,,
道具,帛,,,絹布,,,,
文字,絵文字,4世紀,,マヤ文字@象形文字,マヤ文明,,,
文字@伝達,キープ,,,結縄,,,,
製品,絹織物,,,,,,
船,ダウ船,,,,インド洋
船,サヴァンナ,1819@1955,,サヴァンナ号@サバンナ@サバンナ号,アイゼンハワー,原子力@蒸気,
製品,毛織物,,,,,,
技術@発明,活字印刷法,,,,,,,,
技術@発明@文字,仮名,,,,国風文化,,,,
作物@製品,酒,,,,,,,,
作物@製品,塩,,,,,,,,
磁器@陶磁器,象嵌青磁,,,,高麗青磁,,,,
