class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
皇帝@王,カール6世,1685,1740,,神聖ローマ帝国,,
国王@皇帝,カール大帝,742,814,シャルルマーニ,フランク王国,,
政治家,ガイウス・センプロニウス・グラックス,前153,前121,グラックス兄弟（弟）,古代ローマ,,
政治家@首相@大臣,カヴール,1810,1861,,サルディニア王国,,
シャー@開祖,ガウタマ・シュダールタ,前563,前483,ブッダ@ガウタマ・シッダールタ@ゴータマ・シッダッタ@釈迦@,,ネパール,シャカ族
政治家@軍人@文筆家,カエサル,前100頃,前44,ガイウス・ユリウス・カエサル@ユリウス・カエサル,古代ローマ,,
神学者@哲学者@神秘主義者@スーフィー,ガザーリー,1058,1111,ガッザーリー,,イラン,
君主,ガザン・ハン,1271,1304,,イル・ハン国,,
宣教師@画家,カスティリオーネ,1688,1766,郎清寧,,イタリア,
政治家@革命家@軍人@弁護士@首相@元首,カストロ,1926,,,キューバ,,
摂政@教皇@王@王族,カトリーヌ・ド・メディシス,1519,1589,カテリーナ・ディ・ロレンツォ・デ・メディチ,ヴァロワ朝,フランス,
シャー@君主@王,カニシカ王,,,カニシカ1世,クシャーナ朝,,
大臣@首相,カニング,1770,1827,,イギリス,イギリス,
探検家@航海者@王@隊長,カブラル,1460頃,1526頃,,ポルトガル,,
航海者@国王@船員,カボット,1451頃,1498頃,,,イタリア,
司祭@皇帝@神父,ガポン,1870,1906,ガポン神父,ロシア帝国,,
軍事家@王,ガリバルディ,1807,1882,二つの世界の英雄,,イタリア,
物理学者@天文学者@哲学者@学者,ガリレオ・ガリレイ,1564,1642,,,イタリア,
神学者,カルヴァン,1509,1564,,,フランス,
,カルティニ,1879,1904,,,インドネシア,
政治家@大統領,カルデナス,1895,1970,,メキシコ,,
弁護士@宗教家@政治指導者,ガンディー,1869,1948,,インド帝国,,
哲学者@思想家,カント,1724,1804,,,ドイツ,
政治家@文筆家@哲学者,キケロ,前106,前43,マルクス・トゥッリウス・キケロ,古代ローマ,,
国王@王,キュロス2世,前559頃  ,前529頃,,アケメネス朝ペルシア,,
牧師,キング,1929,1968,,アメリカ合衆国,,
金属加工職人@職人,グーテンベルク,1400頃,1468,,,ドイツ,
教育者,クーベルタン,1863,1937,ピエール・ド・クーベルタン男爵,フランス,フランス,
大統領,クーリッジ,1872,1933,,アメリカ合衆国,,
国王@王@女王,グスタフ・アドルフ,1594,1632,グスタフ2世アドルフ ,スウェーデン王国,,
海軍士官@海洋探検家@船員@将軍,クック,1728,1779,キャプテンクック,,イギリス,
王,クヌート,995,1035,クヌーズ1世,デンマーク,デンマーク,
皇帝,グユク・ハン,1206,1248,,,モンゴル,
軍人@政治家,クライヴ,1725,1774,,,イギリス,
政治家@軍人,クラッスス,前114頃,前53,,古代ローマ,,
政治家@首相@党首,グラッドストン,1809,1898,ウィリアム・エワート・グラッドストン,イギリス,イギリス,
民主主義者@将軍@貴族@僭主,クレイステネス,前6世紀末,前5世紀前半,,アテネ,,
女王,クレオパトラ,前69,前30,,プトレマイオス朝エジプト,,
教皇@博士@教父,グレゴリウス1世,540,604,,古代ローマ,,
教皇@皇帝,グレゴリウス7世,1020,1085,イルデブランド,古代ローマ,,
