class,instance,starting_time,time_e,alias,author,youshiki
絵画,ムーラン・ド・ラ・ギャレット,1876,,,ルノワール,印象派
絵画,モナ・リザ,1506頃,,,レオナルド・ダ・ヴィンチ,
絵画,最後の晩餐,1498,,,レオナルド・ダ・ヴィンチ,
絵画,夜警,1642,,,レンブラント,
絵画,死の舞踏,,,,,
石碑,ロゼッタ・ストーン,,,,,,,
碑文,ペルセポリス碑文,,,,,,,
碑文,ベヒストゥーン碑文,,,,ダレイオス1世,,,
文書,アマルナ文書,前14世紀,,,,,,
詩,競技祝勝歌,,,,,,,
詩@演劇,アガメムノーン,,,アガメムノン,アイスキュロス,,,
詩@演劇,縛られたプロメテウス,,,,アイスキュロス,,,
詩@演劇,アイアス,,,アイアース,ソフォクレス,,,
詩@演劇,メディア,,,女王メディア,エウリピデス,,,
詩@演劇@戯曲,オイディプス,,,オイディプス王@オイディプース王,ソフォクレス,,,
叙事詩,イリアス,,,,ホメロス,,,
書物,形而上学,,,,アリストテレス,,,
書物,アテナイ人の国制,,,,アリストテレス,,,
書物,政治学,,,,アリストテレス,,,
芝居,ワヤン,,,,クディリ朝,,,,
書物,呉子,,,,呉子,,,,
書物,公孫竜子,,,,公孫竜,,,,
兵法書@書物,孫子,,,,孫武,,,,
兵法書@書物,斉孫子,,,,孫臏,,,,
銘文,金文,,,,殷@周,青銅器,,,
戯曲,シャクンタラー,,,,カーリダーサ,,,,
詩,農耕詩,,,,ウェルギリウス,,,,
詩,転身譜,,,,オウィディウス,,,,
詩,愛の歌,,,,オウィディウス,,,,
自伝,告白録,,,,アウグスティヌス,,,,
宗教書@教典,四福音書,,,,新約聖書,マタイ@マルコ@ルカ@ヨハネ,,,
宗教書@教典,使途行伝,,,,新約聖書,ペテロ@パウロ,,,
宗教書@教典,サーマ・ヴェーダ,,,,詠法集,,,,
宗教書@教典,ヤジュル・ヴェーダ,,,,祭式集,,,,
宗教書@教典,アタルヴァ・ヴェーダ,,,,呪法集,,,,
書物,幸福論,,,,セネカ,,,,
書物@数学書,幾何学原本,,,,エウクレイデス,,,,
叙事詩,アエネイス,,,,ウェルギリウス,,,,
像,ミロのヴィーナス,前4,前2～前1,,ミロ島,,,,
像,仏像,,,,仏教,,,,
像,女性裸像,旧石器時代,,,,,,
像@神,スフィンクス,,,,,,,
像,アテナ女神像,,,,フェイディアス,パルテノン神殿,,
像,ヘルメス像,,,,プラクシテレス,,,
彫刻,瀕死のガリア人,,,,ベルガモン,ヘレニズム彫刻,,,
彫刻,サモトラケのニケ,,,,サモトラケ,ヘレニズム彫刻,,,
彫刻,ラオコーン,,,,ローマ,ヘレニズム彫刻,,,
碑文@石柱,磨崖碑,,,,アショーカ王,,,,
碑文@石柱,石柱碑,,,,アショーカ王,,,,
歴史書,歴史,,,,ポリビオス,,,,
歴史書,ローマ建国史,,,ローマ史,リウィウス,,,,
医学書,傷寒論,,,,張仲景@王叔和,,,
絵巻物@絵画,清明上河図,,,,張択端,北宋,,
演劇,雑劇,,,,中国,,,
絵画,女史箴図,,,,顧愷之,,,
歴史書,魏志倭人伝,,,「魏書」第30巻烏丸鮮卑東夷伝倭人条@『魏書』東夷伝倭人条,三国志,陳寿,中国,
歴史書,新五代史,,,,欧陽脩,北宋,,
文,詞,,,,歌詞,,,
碑,大秦景教流行中国碑,,,,徳宗,長安,,
石碑,広開土王碑,414,,好人王碑,広開土王,吉林省集安市,,
詩文集@詩,文選,,,,昭明太子,,,
辞書,説文解字,,,,許慎,後漢,,
詩,桃花源記,,,,陶潜,,,
詩@呼称,唐詩,,,,唐,,,
書物,茶経,,,,陸羽,,,
書物,四書,,,,朱熹,,,
宗教書@教典,高麗版大蔵経,11世紀初め,,,高麗,,,,

